# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416446430;-70006.39;0.42;67993.38
axle;60;1416446490;30446.61;0.36;-30061.50
axle;60;1416446550;-6515.98;0.43;8034.83
axle;60;1416446610;-11304.95;0.42;4573.87
axle;60;1416446670;8013.03;0.38;-752.43
axle;60;1416446730;477.12;0.33;-1047.83
axle;60;1416446790;-18339.49;0.35;18933.49
axle;60;1416446850;-4745.39;0.35;4652.29
axle;60;1416446910;91.18;0.25;6.82
axle;60;1416446970;-10080.41;0.20;8459.42
axle;60;1416447030;-998.98;0.67;358.23
axle;60;1416447090;2268.54;0.23;4.00
