# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416447266;1.94;410.83;830299.93;0.00;47122.55;0.00;0.00;0.00;0.00
axle;60;1416447326;0.00;414.54;726211.09;0.00;50714.79;0.00;0.00;0.00;0.00
axle;60;1416447386;10.45;490.66;737953.30;0.00;54958.89;4264.01;0.00;4263.58;99.99
axle;60;1416447446;1.33;371.44;757002.75;0.03;65775.80;5461.97;0.00;5461.85;100.00
axle;60;1416447506;0.13;422.36;746752.45;0.02;67141.15;0.00;0.00;0.00;0.00
axle;60;1416447566;0.00;437.59;584568.82;0.00;39523.72;0.00;0.00;0.00;0.00
axle;60;1416447626;0.00;486.55;709448.25;0.00;69798.52;0.00;0.00;0.00;0.00
axle;60;1416447686;0.00;350.28;887022.99;0.00;44223.59;0.00;0.00;0.00;0.00
axle;60;1416447746;0.07;424.57;709886.06;0.00;61633.13;0.00;0.00;0.00;0.00
axle;60;1416447806;0.00;466.64;663329.25;0.00;47937.61;0.00;0.00;0.00;0.00
axle;60;1416447866;0.00;370.72;754255.20;0.00;64083.95;0.00;0.00;0.00;0.00
axle;60;1416447926;22.89;554.40;704569.21;0.07;90836.45;0.00;0.00;0.00;0.00
